Date Collected in Field,Block,Dormancy,Trt,Pop ID,Indiv #,Silique #,Date Counted,Data Collector,# Seeds,Notes
4/29/20,7,Dorm,Soil,L03,2,2,9/8/20,YE,29,
4/29/20,7,Dorm,Soil,L03,2,3,9/8/20,YE,11,
4/29/20,7,Dorm,Soil,L03,2,4,9/8/20,YE,.,Tube not in bag
4/29/20,7,Dorm,Soil,L03,2,5,9/8/20,YE,.,Tube not in bag
4/29/20,7,Dorm,Soil,L03,3,1,9/14/20,PI,55,
4/29/20,7,Dorm,Soil,L03,3,2,9/14/20,PI,44,
4/29/20,7,Dorm,Soil,L03,3,3,9/14/20,PI,24,
4/29/20,7,Dorm,Soil,L03,3,4,9/14/20,PI,56,
4/29/20,7,Dorm,Soil,L03,3,5,9/14/20,PI,49,
4/29/20,7,Dorm,Soil,L03,4,1,9/14/20,PI,11,
4/29/20,7,Dorm,Soil,L03,4,2,9/14/20,PI,18,
4/29/20,7,Dorm,Soil,L03,4,3,9/14/20,PI,17,
4/29/20,7,Dorm,Soil,L03,4,4,9/14/20,PI,12,
4/29/20,7,Dorm,Soil,L03,4,5,9/14/20,PI,10,
4/29/20,7,Dorm,Soil,L03,5,1,9/14/20,PI,38,
4/29/20,7,Dorm,Soil,L03,5,2,9/15/20,YE,12,
4/29/20,7,Dorm,Soil,L03,5,3,9/15/20,YE,39,
4/29/20,8,Dorm,Soil,L10,1,1,9/7/20,BQ,32,
4/29/20,8,Dorm,Soil,L10,1,2,9/7/20,BQ,43,
4/29/20,8,Dorm,Soil,L10,1,3,9/7/20,BQ,41,
4/29/20,8,Dorm,Soil,L10,1,4,9/7/20,BQ,39,bug in tube with fruit
4/29/20,8,Dorm,Soil,L10,1,5,9/7/20,BQ,39,bug in tube with fruit; 1 seed on table next to paper (didn't count)
4/29/20,8,Dorm,Soil,L10,2,1,9/7/20,BQ,.,didn't look like all of the fruit was in the tube (only one piece of the fruit)
4/29/20,8,Dorm,Soil,L10,2,2,9/7/20,BQ,43,
4/29/20,8,Dorm,Soil,L10,2,3,9/7/20,BQ,34,
4/29/20,8,Dorm,Soil,L10,2,4,9/7/20,BQ,31,"seed-like thing in tube cap, but looked too flat to be seed and couldn't get it out of the cap, so didn't count"
4/29/20,8,Dorm,Soil,L10,2,5,9/7/20,BQ,33,
4/29/20,8,Dorm,Soil,L10,3,1,9/8/20,BQ,39,
4/29/20,8,Dorm,Soil,L10,3,2,9/8/20,BQ,25,
4/29/20,8,Dorm,Soil,L10,3,3,9/8/20,BQ,31,
4/29/20,8,Dorm,Soil,L10,3,4,9/8/20,BQ,25,
4/29/20,8,Dorm,Soil,L10,3,5,9/8/20,BQ,27,
4/29/20,8,Dorm,Soil,L10,4,1,9/8/20,BQ,39,some really dark brown seeds
4/29/20,8,Dorm,Soil,L10,4,2,9/8/20,BQ,37,
4/29/20,8,Dorm,Soil,L10,4,3,9/8/20,BQ,34,6 seeds stuck in tube
4/29/20,8,Dorm,Soil,L10,4,4,9/8/20,BQ,23,
4/29/20,8,Dorm,Soil,L10,4,5,9/8/20,BQ,44,
4/29/20,8,Dorm,Soil,L10,5,1,9/14/20,BQ,18,
4/29/20,8,Dorm,Soil,L10,5,2,9/14/20,BQ,22,
4/29/20,8,Dorm,Soil,L10,5,3,9/14/20,BQ,15,
4/29/20,8,Dorm,Soil,L10,5,4,9/14/20,BQ,15,
4/29/20,7,ND,Soil,M01,1,1,9/15/20,YE,15,
4/29/20,7,ND,Soil,M01,1,2,9/15/20,YE,38,
4/29/20,7,ND,Soil,M01,1,3,9/15/20,YE,23,
4/29/20,7,ND,Soil,M01,1,4,9/15/20,YE,43,
4/29/20,7,ND,Soil,M01,1,5,9/15/20,YE,46,
4/29/20,7,ND,Soil,M01,2,1,9/15/20,YE,14,
4/29/20,7,ND,Soil,M01,2,2,9/15/20,YE,23,
4/29/20,7,ND,Soil,M01,2,3,9/15/20,YE,15,
4/29/20,7,ND,Soil,M01,2,4,9/21/20,PI,26,used ethanol to get seeds out of tube
4/29/20,7,ND,Soil,M01,2,5,9/21/20,PI,23,
4/29/20,7,ND,Soil,M01,3,1,9/21/20,PI,35,
4/29/20,7,ND,Soil,M01,3,2,9/21/20,PI,39,
4/29/20,7,ND,Soil,M01,3,3,9/21/20,PI,40,
4/29/20,7,ND,Soil,M01,4,1,9/21/20,PI,33,
4/29/20,7,ND,Soil,M01,4,2,9/21/20,PI,25,
4/29/20,8,ND,Soil,M12,1,1,9/14/20,BQ,26,
4/29/20,8,ND,Soil,M12,1,2,9/14/20,BQ,31,
4/29/20,8,ND,Soil,M12,1,3,9/14/20,BQ,32,
4/29/20,8,ND,Soil,M12,1,4,9/14/20,BQ,33,
4/29/20,8,ND,Soil,M12,1,5,9/14/20,BQ,30,
4/29/20,8,ND,Soil,M12,2,1,9/14/20,BQ,10,
4/29/20,8,ND,Soil,M12,2,2,9/15/20,BQ,32,
4/29/20,8,ND,Soil,M12,2,3,9/15/20,BQ,20,
4/29/20,8,ND,Soil,M12,2,4,9/15/20,BQ,34,
4/29/20,8,ND,Soil,M12,2,5,9/15/20,BQ,21,
4/29/20,8,ND,Soil,M12,3,1,9/15/20,BQ,19,
4/29/20,8,ND,Soil,M12,3,2,9/15/20,BQ,32,
4/29/20,8,ND,Soil,M12,3,3,9/15/20,BQ,19,
4/29/20,8,ND,Soil,M12,4,1,9/15/20,BQ,28,
4/29/20,8,ND,Soil,M12,5,1,9/15/20,BQ,27,
4/29/20,8,ND,Soil,M12,6,1,9/15/20,BQ,19,
