"Treatment","Dormancy","Envt","Model","Lambda","bias","std.error","conf.low","conf.high"
"Dormant_Control","Dormant","Control",1,24.8480453301875,61.026879682643,158.897560928209,-494.944109310544,49.6920775448965
"Dormant_High Humidity","Dormant","High Humidity",1,543.283981703041,938.767945115083,2481.94602743551,-7970.93416291504,1086.11292245471
"Dormant_Litter","Dormant","Litter",1,0,0,0,0,0
"Dormant_Native Soil","Dormant","Native Soil",1,3776.07501099379,-107.833650917619,1619.32731418175,136.886405560353,6937.31582232271
"Mixed_Control","Mixed","Control",1,985.95335324846,232.295632017178,1374.55694896683,-2612.0585693125,1968.37553736502
"Mixed_High Humidity","Mixed","High Humidity",1,442.6704133625,642.765971226004,1892.99897173772,-5741.65209461842,884.708133117434
"Mixed_Litter","Mixed","Litter",1,0.15976311774017,3.42165794937192,15.4998383736905,-29.5853371808297,0.319526235480341
"Mixed_Native Soil","Mixed","Native Soil",1,874.970669207328,28.4604122905484,633.390123177887,-735.126485462376,1650.13677939049
"Non-Dormant_Control","Non-Dormant","Control",1,3.5453865666694,26.3251779525722,92.8349279508722,-280.122365713461,7.09077313333879
"Non-Dormant_High Humidity","Non-Dormant","High Humidity",1,0.706055608763545,6.12283674976479,27.2139691478159,-68.3529147572386,1.41211121752709
"Non-Dormant_Litter","Non-Dormant","Litter",1,0.0694515572467265,1.27315025549453,5.42474098647068,-15.8995080361932,0.138903114493453
"Non-Dormant_Native Soil","Non-Dormant","Native Soil",1,14928.4844467348,-876.043907145679,8437.07427061064,-5874.78973514218,28124.2421170912
"Dormant_Control","Dormant","Control",2,79.7050258254237,75.5680046498899,213.536481386687,-607.165608190499,158.589758790736
"Dormant_High Humidity","Dormant","High Humidity",2,608.096836662442,942.219250171092,2519.48753173075,-7984.85932170232,1212.20745963592
"Dormant_Litter","Dormant","Litter",2,0,0,0,0,0
"Dormant_Native Soil","Dormant","Native Soil",2,3827.6855339168,-108.5163090242,1617.41650899385,182.78873208063,6982.59967785054
"Mixed_Control","Mixed","Control",2,1056.03009078501,225.309578075856,1408.15907628514,-2644.42002648187,2102.32016420618
"Mixed_High Humidity","Mixed","High Humidity",2,478.180937320866,646.953018286863,1918.5547752173,-5769.51059061685,954.390281048951
"Mixed_Litter","Mixed","Litter",2,1.02431769328466,4.52951289683382,18.0289870221954,-38.1192038299109,2.04863538656933
"Mixed_Native Soil","Mixed","Native Soil",2,887.095835661535,28.4289440942908,636.202731373227,-730.717208558551,1669.20367095554
"Non-Dormant_Control","Non-Dormant","Control",2,6.64720252594005,27.7478524496543,96.5183606013955,-293.56846384781,13.2944050518801
"Non-Dormant_High Humidity","Non-Dormant","High Humidity",2,3.20690976253604,8.13616526581965,32.4420390795206,-91.5488465734694,6.41381952507207
"Non-Dormant_Litter","Non-Dormant","Litter",2,1.12818918669335,2.2970771875854,8.38098956294586,-26.9900153512201,2.25637837338671
"Non-Dormant_Native Soil","Non-Dormant","Native Soil",2,14966.9807333694,-875.012134511611,8451.84087367831,-5872.95081963369,28189.9825043258
"Dormant_Control","Dormant","Control",3,0,0,0,0,0
"Dormant_High Humidity","Dormant","High Humidity",3,0,0,0,0,0
"Dormant_Litter","Dormant","Litter",3,0,0,0,0,0
"Dormant_Native Soil","Dormant","Native Soil",3,0,0,0,0,0
"Mixed_Control","Mixed","Control",3,0,0,0,0,0
"Mixed_High Humidity","Mixed","High Humidity",3,0.0895279714910358,0.329111509595442,1.07919091551129,-3.89456466566635,0.179055942982072
"Mixed_Litter","Mixed","Litter",3,0,0,0,0,0
"Mixed_Native Soil","Mixed","Native Soil",3,0,0,0,0,0
"Non-Dormant_Control","Non-Dormant","Control",3,0,0,0,0,0
"Non-Dormant_High Humidity","Non-Dormant","High Humidity",3,0,0,0,0,0
"Non-Dormant_Litter","Non-Dormant","Litter",3,0,0,0,0,0
"Non-Dormant_Native Soil","Non-Dormant","Native Soil",3,0,0,0,0,0
"Dormant_Control","Dormant","Control",4,35.2020585675666,6.45876143844164,31.7412661372837,-49.6413711060332,69.639488426657
"Dormant_High Humidity","Dormant","High Humidity",4,33.3192529981212,1.78904771547634,23.5826970811335,-26.5031764270901,63.999099817439
"Dormant_Litter","Dormant","Litter",4,0,0,0,0,0
"Dormant_Native Soil","Dormant","Native Soil",4,25.8928390732689,-0.281258993571708,4.49212973418649,16.6224943382231,34.4403739527937
"Mixed_Control","Mixed","Control",4,35.6397688293612,-3.39771404932001,19.032256815221,-8.9196728401413,67.4041301420304
"Mixed_High Humidity","Mixed","High Humidity",4,18.1872808533884,2.42800437812676,15.5585660288714,-20.6563507802493,35.5198453063815
"Mixed_Litter","Mixed","Litter",4,0.619783160474946,0.552120610954113,1.64870003425878,-4.2921657832113,1.23956632094989
"Mixed_Native Soil","Mixed","Native Soil",4,6.08344245709924,-0.00994163613022003,2.20435938102488,1.2565796228591,9.87807436254156
"Non-Dormant_Control","Non-Dormant","Control",4,1.79262710254835,0.670164820107217,2.32749487108051,-4.95452385719397,3.5852542050967
"Non-Dormant_High Humidity","Non-Dormant","High Humidity",4,1.70216505839612,1.06023281622663,3.94000038622908,-11.888099832806,3.40433011679223
"Non-Dormant_Litter","Non-Dormant","Litter",4,0.848270455836036,0.524303316762574,1.95218577671623,-5.89192846109283,1.69654091167207
"Non-Dormant_Native Soil","Non-Dormant","Native Soil",4,19.2605362060623,0.5192782554663,9.94193894608876,-4.76320938365312,33.9014980541917
