PopId,Block,RILSet,Dormancy,Envt,sumY1Total,Y1Germ,sumY1Rep,Y1Rep,sumy2Total,y2Germ,sumy2Rep,y2Rep,sumy3Total,y3Germ,Y1Persistence,Y2Persistence,Y3Resurrection
C_7,2,Italy x Sweden,Dormant,Control,54,Established,13,Persisted,81,Established,16,Persisted,567,Established,Established and Persisted,Persisted,Persisted
C_9,3,Italy x Sweden,Mixed,Control,3,Established,2,Persisted,6,Established,3,Persisted,185,Established,Established and Persisted,Persisted,Persisted
C_10,3,Italy x Sweden,Dormant,High Humidity,34,Established,12,Persisted,159,Established,34,Persisted,786,Established,Established and Persisted,Persisted,Persisted
C_11,3,Germany x Tajikistan,Non-Dormant,Straw Litter,0,Never Established,0,Disappeared,4,Established,0,Disappeared,NA,NA,Never Established,Newly Established then Disappeared,NA
C_12,3,Germany x Tajikistan,Dormant,Control,4,Established,3,Persisted,12,Established,0,Disappeared,23,Established,Established and Persisted,Persisted then Disappeared,Reappeared
C_13,3,Italy x Sweden,Mixed,High Humidity,16,Established,5,Persisted,2,Established,0,Disappeared,281,Established,Established and Persisted,Persisted then Disappeared,Reappeared
D_0,1,UK x USA,Mixed,Control,127,Established,21,Persisted,63,Established,0,Disappeared,372,Established,Established and Persisted,Persisted then Disappeared,Reappeared
D_1,1,Germany x Tajikistan,Mixed,Control,20,Established,2,Persisted,436,Established,0,Disappeared,541,Established,Established and Persisted,Persisted then Disappeared,Reappeared
D_2,1,Italy x Sweden,Non-Dormant,Native Soil,151,Established,59,Persisted,83,Established,30,Persisted,11,Established,Established and Persisted,Persisted,Persisted
D_3,1,Italy x Sweden,Mixed,Native Soil,170,Established,98,Persisted,114,Established,53,Persisted,122,Established,Established and Persisted,Persisted,Persisted
D_4,1,UK x USA,Non-Dormant,Control,14,Established,5,Persisted,48,Established,0,Disappeared,19,Established,Established and Persisted,Persisted then Disappeared,Reappeared
D_5,2,Italy x Sweden,Mixed,High Humidity,243,Established,84,Persisted,1108,Established,102,Persisted,1471,Established,Established and Persisted,Persisted,Persisted
D_6,2,Italy x Sweden,Dormant,High Humidity,189,Established,94,Persisted,473,Established,90,Persisted,2425,Established,Established and Persisted,Persisted,Persisted
D_8,2,Italy x Sweden,Non-Dormant,Straw Litter,31,Established,8,Persisted,207,Established,49,Persisted,893,Established,Established and Persisted,Persisted,Persisted
D_9,3,Italy x Sweden,Non-Dormant,Control,41,Established,8,Persisted,148,Established,37,Persisted,362,Established,Established and Persisted,Persisted,Persisted
D_10,3,Italy x Sweden,Mixed,Straw Litter,11,Established,2,Persisted,81,Established,0,Disappeared,30,Established,Established and Persisted,Persisted then Disappeared,Reappeared
D_11,3,Germany x Tajikistan,Non-Dormant,Control,8,Established,4,Persisted,239,Established,0,Disappeared,8,Established,Established and Persisted,Persisted then Disappeared,Reappeared
D_12,3,Germany x Tajikistan,Dormant,Straw Litter,1,Established,1,Persisted,3,Established,0,Disappeared,NA,NA,Established and Persisted,Persisted then Disappeared,NA
D_13,3,Italy x Sweden,Dormant,Control,20,Established,12,Persisted,8,Established,0,Disappeared,414,Established,Established and Persisted,Persisted then Disappeared,Reappeared
E_1,4,Italy x Sweden,Non-Dormant,Native Soil,230,Established,75,Persisted,21,Established,7,Persisted,68,Established,Established and Persisted,Persisted,Persisted
E_2,4,Italy x Sweden,Mixed,Control,70,Established,19,Persisted,233,Established,2,Persisted,2673,Established,Established and Persisted,Persisted,Persisted
E_3,4,Italy x Sweden,Non-Dormant,Control,44,Established,2,Persisted,186,Established,0,Disappeared,367,Established,Established and Persisted,Persisted then Disappeared,Reappeared
E_4,4,Germany x Tajikistan,Non-Dormant,Straw Litter,8,Established,0,Disappeared,56,Established,0,Disappeared,NA,NA,Established then Disappeared,Reappeared then Disappeared,NA
E_5,2,Germany x Tajikistan,Non-Dormant,Straw Litter,1,Established,0,Disappeared,159,Established,0,Disappeared,NA,NA,Established then Disappeared,Reappeared then Disappeared,NA
E_7,2,Italy x Sweden,Dormant,Straw Litter,29,Established,9,Persisted,79,Established,0,Disappeared,48,Established,Established and Persisted,Persisted then Disappeared,Reappeared
